bname,wname,nut_length,nut_height,nut_width,nut_vol,nut_va3d,nut_ratio_feret,nut_inv_ratio_feret,nut_area,nut_sphericity,nut_cnvx_area,nut_cnvx_vol,nut_ratio_cnvx_area,nut_ratio_cnvx_vol,nut_inv_ratio_cnvx_area,nut_inv_ratio_cnvx_vol,krumbein,corey,sneed,janke,wadell,air_vol,meat_vol,shell_vol,vein_vol,air_ratio_vol,meat_ratio_vol,shell_ratio_vol,vein_ratio_vol,shell_rugosity,shell_thickness1,shell_thickness2,shell_thickness3,shell_thickness4,shell_ext_ratio,shell_thick_ratio,shell_prot_ratio,shell_ext_vol,shell_thick_vol,shell_prot_vol,meat_length,meat_height,meat_width,meat_area,meat_cnvx_vol,meat_cnvx_area,meat_ratio_cnvx_area,meat_inv_ratio_cnvx_area,meat_ratio_cnvx_vol,meat_inv_ratio_cnvx_vol,ShellIntegrity,ShellTexture,ShellColor,SEAL,ShellStrength,ShellThickness,PackingTissue,KernelFill,%TipShrivel,%MinorShrivel,%MajorShrivel,Plumpness,EaseOfRemoval,PercentKernel,%Blank
NewStuke_R5_T9,007,37.54438826910365,33.02818723247552,30.771905194503542,17653.949744434143,4.585739112031047,1.2200865702592183,0.8196139719721208,5447.306719799999,0.6019081430359279,3423.3844477361426,18364.033560234515,0.6284545049194208,1.0402223766397796,1.591205078764163,0.961332905787213,0.8967051957666253,0.8738552515628774,0.9140283516160552,0.9077623648759524,0.9946748608872388,6167.77160940963,5420.359053953315,3959.4073502988176,2106.4112935269027,0.3493706336936966,0.30703378747649496,0.22427883887837174,0.1193167151838643,1.6613830724338783,1.1837596173201523,1.1836964498429965,1.1775428900754972,1.18559590080263,0.918635430887094,0.06950482930407267,0.011859739808833284,3637.2518772992817,275.19793202781,46.95754097172599,28.21201011309609,26.61076870123303,25.028216708313607,5636.180636459999,9802.78311374876,2300.353875797667,0.4081405519398833,2.4501363445681186,1.8085117639207209,0.5529408323184326,7.0,5.0,5.0,5.0,5.0,1.3,5.0,6.0,0.0,0.0,10.0,5.0,5.0,44.81737414,0.0
NewStuke_R5_T9,008,38.012104639486395,32.565499965080065,31.15818452338827,17250.512523115904,4.801643358790606,1.219971741644747,0.8196911173137629,5446.891941479998,0.5927479128074983,3401.246321220125,18128.688003018997,0.6244380020316609,1.0509072109438096,1.6014400096509454,0.9515587956637102,0.8888504315423467,0.8855892005391806,0.9221924051850012,0.9153272144898694,0.9943495069714159,5961.209849202364,5915.797533753425,3165.1767351785784,2208.3279677360547,0.34556711525030165,0.3429345954693336,0.18348305483313626,0.12801520910041758,1.6870578173166195,0.9575514731077172,0.9340532495963432,0.9390465952493091,0.9108,0.9438796027187,0.05050614727290786,0.005614250008392158,2987.545759334829,159.86088233171097,17.770093512038997,29.180525930290546,27.70422191868897,24.173720353821643,6057.053893439999,10229.464450479154,2367.759933771985,0.39090950409676095,2.558136830954288,1.7291775778520966,0.5783096038303672,7.0,5.0,5.0,5.0,5.0,1.3,5.0,6.0,0.0,0.0,10.0,5.0,5.0,44.81737414,0.0
NewStuke_R7_T13,001,41.19513857724209,36.53350710556197,34.89105905904579,25049.851208313223,5.292778698790198,1.1806789386222978,0.8469703043630751,7215.207135839999,0.5738152526615,4445.050693729802,26931.08224614312,0.6160669555347847,1.0750994895013817,1.6232001911739242,0.9301464745963074,0.9090153011329488,0.899384679371254,0.9317448268554508,0.9270969429237949,0.9961548217275988,10541.128436832803,7270.029858857435,4526.043823180934,2712.649089442049,0.42080602991105,0.2902224767085543,0.18068146535253227,0.10829002802786353,1.7427211900724973,0.9693155501844748,0.9825867853717908,0.9678122243024644,0.9719942592423064,0.8767961210538036,0.1089208903452863,0.01428298860091013,3968.41766788457,492.98072296265093,64.64543233371299,31.77296444883428,29.1819502280393,26.108188429156105,7563.056365259998,13641.66921332971,2901.8621753162074,0.3836890848315724,2.6062769037043862,1.8764254725459475,0.5329281736104301,7.0,6.0,5.0,5.0,5.0,1.3,5.0,5.0,0.0,0.0,0.0,5.0,5.0,47.11832823,10.0
NewStuke_R7_T13,002,41.35598056616802,35.84154513850662,34.420090158476945,22853.585094360864,4.966363264969544,1.2015070377723256,0.8322880920065744,6644.5643404799985,0.5861208521818969,4141.2905348917275,24383.43385963833,0.6232599042893103,1.066941303036737,1.6044670820598963,0.9372586825102672,0.8968242867188762,0.8940246232418736,0.9280391982375784,0.9221494623184804,0.9951656261481528,8500.622717110095,7130.978800607771,4669.041021878575,2552.942554764425,0.3719601402585903,0.31202889048542953,0.2043023448006266,0.11170862445535364,1.706132781793028,1.1989581333202342,1.1657849858435203,1.1944205357698698,1.18559590080263,0.9681807207997224,0.027112633782924,0.0047066454173536505,4520.475502005869,126.589999343643,21.975520529060997,31.332033017609447,28.733253319580818,26.24522740609261,7149.695204519999,13012.98440051063,2771.804873691973,0.3876815436747084,2.5794366956995742,1.8248524872071608,0.5479894988829734,7.0,6.0,5.0,5.0,5.0,1.3,5.0,5.0,0.0,0.0,0.0,5.0,5.0,47.11832823,10.0
NewStuke_R7_T13,003,44.013307505078615,37.406966758183756,35.494223005075476,27342.46348907228,4.897890004079218,1.2400132691673502,0.8064429832041109,7453.819886039999,0.5888395753115737,4648.431802962811,28997.94796543553,0.6236308193693677,1.0605462809532469,1.603512797862086,0.942910288743999,0.8816862169934625,0.8747610227615483,0.9146598502515668,0.90680620386668,0.9934861640043128,10648.343651756479,8570.158302880942,5259.526174921787,2864.435359513068,0.3894434624009723,0.31343767931906,0.19235743615507853,0.10476142212488904,1.6982554195187514,1.1051151593375663,1.118769375220659,1.1133829257914034,1.1051206811927825,0.8998802205245888,0.0915057663409033,0.00861401313450783,4732.943574143465,481.276973226258,45.305627552063996,34.168305770303704,29.941998678342618,25.60520760716968,8286.233887800001,15177.686419202219,3090.127164150375,0.3729229956566921,2.681518736164466,1.7709925397877533,0.564655117135528,7.0,6.0,5.0,5.0,5.0,1.3,5.0,5.0,0.0,0.0,0.0,5.0,5.0,47.11832823,10.0
NewStuke_R7_T13,004,41.82281183310307,35.926955473677104,34.453542486118806,23481.454298613102,4.837836968621642,1.2138900332223694,0.8237978504077663,6706.838696579999,0.5912660238808323,4199.6514687903355,24873.811587390326,0.6261745151157209,1.0592960415087862,1.5969988810790134,0.9440231633223805,0.8911331795493849,0.8888266352151982,0.9244385343438029,0.9178705849784761,0.9946051641761016,9707.906018877262,6694.8404271606,4560.4349290862,2518.2729234890367,0.4134286529029272,0.2851118308952449,0.1942143306411629,0.107245185560665,1.6912860871598918,1.1478133086809177,1.1210432202845415,1.1452646354364642,1.1051206811927825,0.9606088983049628,0.032662286255530845,0.00672881543950629,4380.794373020966,148.95423110353497,30.686324961699,30.50578930143125,28.361387321673888,25.3022678433708,6692.5979742599975,12038.372462609485,2629.441781718261,0.3928880521183552,2.545254289633516,1.7981567437769643,0.5561250449721838,7.0,6.0,5.0,5.0,5.0,1.3,5.0,5.0,0.0,0.0,0.0,5.0,5.0,47.11832823,10.0
NewStuke_R7_T13,005,43.39205496227599,36.72970705304725,34.61610666790059,25416.389283658656,4.673438250906792,1.2535221068784523,0.7977521852328727,6989.383383839999,0.5981193193094805,4394.46058306073,26687.466700811998,0.6287336581394385,1.0500101490800886,1.5904985951590702,0.9523717469551104,0.8773207805915844,0.8670904025057373,0.9093050146320962,0.9007958259194184,0.9928952717462876,10436.72164962075,7366.602956067728,4957.515475630739,2655.5492023394395,0.4106295954607128,0.2898367220399811,0.19505191789056164,0.10448176460874448,1.671907205997767,1.1254764135828976,1.1313745877707244,1.1148417880033608,1.1051206811927825,0.9337026792943414,0.06100267594279798,0.0052946447628606655,4628.8454822395815,302.42171004130796,26.248283349849,31.605342240744893,29.111005556221546,24.858732810965638,7236.245613959999,13003.074158854892,2785.600953400681,0.38495113377947865,2.5977323152212235,1.7651384547805054,0.5665277968941818,7.0,6.0,5.0,5.0,5.0,1.3,5.0,5.0,0.0,0.0,0.0,5.0,5.0,47.11832823,10.0
NewStuke_R7_T13,006,41.018257300377186,35.477149521601206,33.68409357865434,23100.881080637246,4.727498138969687,1.2177337414348748,0.8211975787265977,6583.349973419999,0.5958307020113209,4132.198359042829,24299.684807955866,0.6276741135935971,1.0518942858990532,1.5931834344334206,0.9506658733727228,0.8922222674346838,0.8830024397187001,0.9203957452078659,0.9138650280616822,0.9945781028256028,8710.668012048549,7332.384999372146,4520.275243576487,2537.4920485184816,0.3770708130846871,0.3174071574922752,0.19567544752071395,0.10984395095844908,1.678329090166622,1.1369247809780818,1.1416586543967435,1.1413647099497282,1.156074357470141,0.948172444533178,0.046746240498228286,0.005081314968593757,4286.000427664724,211.305873654414,22.968942257349,31.74434765101965,29.154982098836108,26.382520925263247,7400.705217839999,13976.06617513057,2918.019879988782,0.394289435141216,2.536207949984374,1.9060736958475732,0.5246386864151811,7.0,6.0,5.0,5.0,5.0,1.3,5.0,5.0,0.0,0.0,0.0,5.0,5.0,47.11832823,10.0
NewStuke_R7_T13,007,43.3109487870403,37.3741312881166,35.778432722305205,26336.091424187256,4.8426589485209295,1.2105323093160292,0.8260828664416374,7242.352072559999,0.5910697116388833,4528.28089719614,27923.702211971093,0.6252500364284972,1.06028270339029,1.5993601627152545,0.9431446884896508,0.8933034431849556,0.8892766930235395,0.9247505679552156,0.918426805310702,0.9947949781684534,10838.162845327355,7224.011958420079,5410.804365746208,2863.112254693613,0.4115327012942212,0.2743008384222685,0.20545206494753,0.10871439533598028,1.6918478147480418,1.1852294012598112,1.1895462405721136,1.173131370286191,1.2144,0.9381916502245864,0.053525921165935283,0.008282428609478395,5076.37147694183,289.61828792522994,44.814600879146994,31.783512837805638,28.6853382797768,25.812740397867884,7208.409380039999,13062.547487291738,2786.656568204215,0.3865841160354231,2.5867591515538857,1.8082123288938419,0.5530323978112356,7.0,6.0,5.0,5.0,5.0,1.3,5.0,5.0,0.0,0.0,0.0,5.0,5.0,47.11832823,10.0
NewStuke_R7_T13,008,41.09643386486113,37.51768902617919,35.54452985599098,25438.957709057242,4.995120273997429,1.1561957362036788,0.8649054556138208,7150.4325881999985,0.5849939169211886,4441.140309552291,26961.673834584257,0.6211009270797522,1.059857646014517,1.6100442881348258,0.9435229379722784,0.9242728428951016,0.9052169255869348,0.9357685474179636,0.9323838994751874,0.9971622775694576,10366.696786158898,7661.666699188424,4879.762298327564,2530.7685247878985,0.40751263887151945,0.3011784832859162,0.19182241482284404,0.09948397075587924,1.7094194846725592,1.1439783809794384,1.143684474084681,1.1393571708452872,1.156074357470141,0.9542524866187854,0.03963142353185215,0.006116089849362491,4656.5253072876785,193.39192637978402,29.845064660102995,33.08842389953173,30.460867792138096,26.483507650303515,7453.117067219999,13395.476324522606,2841.2164271649604,0.3812118341279093,2.623213422237219,1.7483762803126826,0.5719592580043229,7.0,6.0,5.0,5.0,5.0,1.3,5.0,5.0,0.0,0.0,0.0,5.0,5.0,47.11832823,10.0
NewStuke_R7_T7,001,43.191261999694746,34.857255376629325,34.56584988002828,24165.590874575926,4.691829307834452,1.2495356587384279,0.8002972888421869,6767.004596219998,0.5973367922261172,4280.76744977118,25380.21122835498,0.6325941395344086,1.0502623900273396,1.5807923872579714,0.9521430163503892,0.8644028962467071,0.8908461315526301,0.9258382778645572,0.9156383904604886,0.99185132815356,9053.234541253283,7046.137436844528,4935.839905500272,3130.3789909778425,0.37463327870778396,0.2915772874503809,0.2042507435931624,0.1295386902486727,1.6740974489002474,1.160024424084608,1.1486048539530185,1.1424218377021642,1.156074357470141,0.9510122127083992,0.043313687653624436,0.005674099637976285,4694.04403010423,213.789427975134,28.006447420908,31.91645595404634,27.958243382619337,28.61572454709184,7081.7406897599985,13188.360428544927,2835.5754047843325,0.40040655666543895,2.4974616008487422,1.8717149000787967,0.5342694017971974,7.0,5.0,4.0,5.0,6.0,1.5,5.0,4.0,0.0,0.0,22.22222222,4.0,5.0,44.03865378,10.0
NewStuke_R7_T7,002,39.03289089410869,33.268873018187016,31.962830605595666,19547.130846953558,4.8720798787859,1.221196313172441,0.8188691606857098,5949.004141079999,0.5898775484723663,3755.5633137023747,20740.67786337527,0.6312927718050939,1.0610599594266148,1.584051084793255,0.9424538086805097,0.8870347402843017,0.8869738777731355,0.9231534273654892,0.916094041626826,0.994214679301976,6751.298000654558,5486.076174956057,4807.303726529601,2502.4529448133376,0.3453856248016448,0.28065889658742776,0.2459339820339324,0.128021496576995,1.6952670983829563,1.3388615470038734,1.2674657062049308,1.3118911430175149,1.2517748679375216,0.9649339821050834,0.032099721688597746,0.002966296206318803,4638.730728028814,154.31311169415898,14.259886806626996,27.901725397332434,24.899533953193284,25.570371649800162,5818.740705359999,10102.842823712486,2377.2635738291847,0.4085529316746047,2.447663258469672,1.8415425709602744,0.543023015470421,7.0,5.0,4.0,5.0,6.0,1.5,5.0,4.0,0.0,0.0,22.22222222,4.0,5.0,44.03865378,10.0
NewStuke_R7_T7,003,43.66999016104397,36.40157884778654,36.81490903438929,27551.252140504086,5.393080697030831,1.1996729686822196,0.8335605003240589,7736.134140899999,0.5702356439313511,4766.821166052211,29582.828943174394,0.6161761261158346,1.073738093365405,1.6229126017972506,0.9313258104364271,0.8890494578055751,0.9078556648587498,0.937586197264572,0.9308800695099342,0.9946305302336566,10313.89939456965,8044.802175671216,5320.228527525878,3872.322042737345,0.37435319970110603,0.2919940674436449,0.19310296680507014,0.1405497660501791,1.7536609832134362,1.1104844528128601,1.1049319954697243,1.0992437335159213,1.0946453672308671,0.9441080456204964,0.051092733892243836,0.004799220487259568,5022.870557376869,271.82502040280394,25.532949746204995,32.92444382355394,29.53828889305086,31.070130308086057,7794.606362399999,16006.857393423585,3232.7674666178477,0.4147441597836459,2.4111249704436024,1.989714233350686,0.5025847346510641,7.0,5.0,4.0,5.0,6.0,1.5,5.0,4.0,0.0,0.0,22.22222222,4.0,5.0,44.03865378,10.0
NewStuke_R7_T7,004,42.40075982554568,35.526167735793706,35.65176841948363,25150.67651780679,5.113374802319483,1.1935078430321548,0.8378662996126273,7151.8727906999975,0.5804490761922991,4440.563182974373,26689.55819168644,0.6208951575241519,1.0611864922516143,1.6105778695191406,0.9423414331991828,0.8898033847384225,0.9137365639539684,0.9416308298927596,0.935009059902146,0.9947224014150791,10328.188139577891,6439.437035212598,5142.089909681009,3240.9461297435305,0.4106524980457478,0.2560343468555785,0.2044513556540074,0.12886119096831952,1.722804016779426,1.1856720830797374,1.1718399227862817,1.1698148570789508,1.18559590080263,0.9482374009263456,0.045637527965109406,0.006125071108545015,4875.921971285507,234.67227205217395,31.495666343327994,32.815815379537234,27.933957636006873,29.049125370119253,6709.834317779999,13831.348342598845,2947.279760740006,0.4392477699382504,2.2766194126394317,2.147912661769229,0.4655682783564873,7.0,5.0,4.0,5.0,6.0,1.5,5.0,4.0,0.0,0.0,22.22222222,4.0,5.0,44.03865378,10.0
NewStuke_R7_T7,005,42.20561421427786,35.68493958658699,34.25434389507733,23762.079758771735,4.913433420424627,1.2321244378101548,0.8116063356208503,6795.198000359998,0.5882179972727124,4262.60116012589,25154.509338801432,0.6272960934913249,1.0585988092862824,1.59414351591818,0.9446449317982984,0.8820368369732415,0.8826490500169467,0.9201501588141404,0.9124398149976384,0.9936792058730616,9854.14364381977,5914.8893748935425,4962.1083021421555,3030.936251688873,0.4147003858188014,0.24892136694011685,0.20882466318253987,0.12755349205365776,1.7000499893517802,1.1743636880000756,1.1630259045913596,1.1627189814927252,1.18559590080263,0.9575816816999929,0.0407271792272573,0.0016911390727496448,4751.624012742784,202.09267416640495,8.391615232967997,30.839351791604148,29.7135162019082,28.394354170974154,6887.382481979998,13219.95367350434,2843.720161973891,0.4128883751431172,2.4219621093797463,2.2350297419961938,0.4474213390587189,7.0,5.0,4.0,5.0,6.0,1.5,5.0,4.0,0.0,0.0,22.22222222,4.0,5.0,44.03865378,10.0
